product_id,life_cycle_stage,product_name,material_type,quantity_kg,energy_consumption_kwh,transport_distance_km,waste_generated_kg,carbon_impact,energy_impact,water_impact,recycling_rate,landfill_rate,incineration_rate
P009,end-of-life,Plastic Pipe,polyvinyl chloride,5.0,5.0,20,5.0,35.0,5.0,5.0,0.3,0.6,0.1
P009,manufacturing,Plastic Pipe,polyvinyl chloride,5.0,80.0,120,0.25,120.0,80.0,30.0,0.3,0.6,0.1
P009,transportation,Plastic Pipe,polyvinyl chloride,5.0,10.0,90,0.0,20.0,10.0,0.0,0.0,0.0,0.0
P010,end-of-life,Cement Block,cement,20.0,8.0,15,20.0,25.0,8.0,5.0,0.15,0.75,0.1
P010,manufacturing,Cement Block,cement,20.0,60.0,70,1.0,103.0,240.0,2525.0,0.15,0.75,0.1
P010,transportation,Cement Block,cement,20.0,10.0,50,0.0,30.0,160.0,0.0,0.0,0.0,0.0
P011,end-of-life,Steel Rebar,steel,100.0,20.0,35,100.0,10.0,20.0,10.0,0.9,0.05,0.05
P011,manufacturing,Steel Rebar,steel,100.0,250.0,150,5.0,360.0,2250.0,15150.0,0.9,0.05,0.05
P011,transportation,Steel Rebar,steel,100.0,30.0,120,0.0,100.0,530.0,3000.0,0.0,0.0,0.0
P012,end-of-life,Wood Flooring,wood,50.0,8.0,25,50.0,20.0,8.0,10.0,0.8,0.15,0.05
P012,manufacturing,Wood Flooring,wood,50.0,60.0,100,2.5,80.0,460.0,4040.0,0.8,0.15,0.05
P012,transportation,Wood Flooring,wood,50.0,10.0,80,0.0,30.0,160.0,0.0,0.0,0.0,0.0
P013,end-of-life,Glass Window,glass,40.0,15.0,35,40.0,64.0,15.0,12.0,0.9,0.05,0.05
P013,manufacturing,Glass Window,glass,40.0,160.0,130,2.0,480.0,2560.0,8080.0,0.9,0.05,0.05
P013,transportation,Glass Window,glass,40.0,25.0,110,0.0,96.0,505.0,0.0,0.0,0.0,0.0
P014,end-of-life,Copper Pipe,copper,8.0,12.0,25,8.0,48.0,12.0,8.0,0.95,0.03,0.02
P014,manufacturing,Copper Pipe,copper,8.0,120.0,180,0.4,320.0,1720.0,4040.0,0.95,0.03,0.02
P014,transportation,Copper Pipe,copper,8.0,15.0,140,0.0,64.0,335.0,0.0,0.0,0.0,0.0
P015,end-of-life,Mineral Wool Insulation,mineral wool,12.0,8.0,20,12.0,36.0,8.0,6.0,0.4,0.5,0.1
P015,manufacturing,Mineral Wool Insulation,mineral wool,12.0,80.0,90,0.6,80.0,80.0,32.0,0.4,0.5,0.1
P015,transportation,Mineral Wool Insulation,mineral wool,12.0,12.0,70,0.0,24.0,12.0,0.0,0.0,0.0,0.0
P016,end-of-life,Concrete Block,concrete,15.0,6.0,12,15.0,1.2,6.0,3.0,0.1,0.8,0.1
P016,manufacturing,Concrete Block,concrete,15.0,45.0,60,0.75,4.2,67.5,909.0,0.1,0.8,0.1
P016,transportation,Concrete Block,concrete,15.0,8.0,45,0.0,0.8999999999999999,12.5,0.0,0.0,0.0,0.0
P017,end-of-life,Clay Roof Tile,clay,2.0,1.5,18,2.0,0.8,1.5,1.6,0.2,0.7,0.1
P017,manufacturing,Clay Roof Tile,clay,2.0,12.0,70,0.2,5.6,40.0,88.0,0.2,0.7,0.1
P017,transportation,Clay Roof Tile,clay,2.0,4.0,50,0.0,2.4,16.0,0.0,0.0,0.0,0.0
P018,end-of-life,Aluminum Window Frame,aluminum,15.0,15.0,30,15.0,1.5,15.0,9.0,0.85,0.1,0.05
P018,manufacturing,Aluminum Window Frame,aluminum,15.0,135.0,160,0.75,75.0,510.0,3045.0,0.85,0.1,0.05
P018,transportation,Aluminum Window Frame,aluminum,15.0,20.0,130,0.0,18.0,110.0,600.0,0.0,0.0,0.0
P019,end-of-life,Steel Roof Panel,steel,80.0,20.0,32,80.0,8.0,20.0,8.0,0.9,0.05,0.05
P019,manufacturing,Steel Roof Panel,steel,80.0,200.0,170,4.0,288.0,1800.0,12120.0,0.9,0.05,0.05
P019,transportation,Steel Roof Panel,steel,80.0,25.0,140,0.0,80.0,425.0,2400.0,0.0,0.0,0.0
P020,end-of-life,Wood Stud,wood,30.0,6.0,22,30.0,12.0,6.0,6.0,0.8,0.15,0.05
P020,manufacturing,Wood Stud,wood,30.0,48.0,90,1.5,48.0,288.0,2424.0,0.8,0.15,0.05
P020,transportation,Wood Stud,wood,30.0,8.0,70,0.0,18.0,98.0,0.0,0.0,0.0,0.0
